hook,archetype,tier,om,om_pct,views,likes,comments,shares,words,word_band,lang,main_category,subcategory,year,username,permalink
Chris Lund DESIGN & ANIMATION NEED THINGS DONE? I DO THINGS. Build Websites in 30 Seconds for FREE with AI,benefit_promise,baseline,5.522458629,0.4859,7008,203,3,128,20,11-26,en,Productivity,None of the above,2023,critiqs.ai,https://www.tiktok.com/@critiqs.ai/video/7280540681062386976
One thing I'll never do again,benefit_promise,baseline,5.513040762,0.4852,35300,65,0,8,6,6-10,en,Social Networking,Video Communities,2024,swayai.app,https://www.tiktok.com/@swayai.app/video/7410047102404939038
GOT TOME? Get started for free. Download the app. ALREADY HAVE TOME? NEW UPDATE AVAILABLE,benefit_promise,baseline,4.366141732,0.4201,1109,3,0,0,15,11-26,en,Education,Virtual Classrooms,2023,tome.app,https://www.tiktok.com/@tome.app/photo/7244561861629234475
"EASIEST WAY TO MAKE $300,000 WITH AI! 😱 (VERIFIED) THIS is the EASIEST way to make $300,000 using AI! 👀",benefit_promise,baseline,3.672646216,0.3631,17300,606,3,98,20,11-26,en,Productivity,,2023,power.ai,https://www.tiktok.com/@power.ai/video/7208447167869046017
"advices if you want want to travel almost FOR FREE , but your friends don't .....",benefit_promise,baseline,3.629500581,0.3591,12500,27,1,3,16,11-26,en,Social Networking,Friend Finders,2024,peepsapp,https://www.tiktok.com/@peepsapp/video/7438328465897737518
Horse Analytics is becoming Happie Download the App for free and get inspired by exercises like this! Download on the App Store,benefit_promise,baseline,3.612288136,0.3576,5115,287,6,8,22,11-26,en,Health & Fitness,Chronic Condition Management,2022,happiehorse_app,https://www.tiktok.com/@happiehorse_app/video/7115805040777891078
Wallpapers you are NEVER seeing again 👉,benefit_promise,baseline,2.951707892,0.2837,250600,11900,139,1384,7,6-10,en,Entertainment,Fan Communities,2024,wallpiics,https://www.tiktok.com/@wallpiics/photo/7439816921832246550
The money will come back but I’ll never be 23 again on a boat in Lake Como,benefit_promise,baseline,2.785928144,0.2598,1861,62,4,2,17,11-26,en,Travel,Local Guides,2022,localsinsightapp,https://www.tiktok.com/@localsinsightapp/video/7119944783488978219
Turn any URL into viral videos in minutes,benefit_promise,baseline,2.760456274,0.2561,1452,15,2,3,8,6-10,en,Photo & Video,Video Editing,2024,zebracat.ai,https://www.tiktok.com/@zebracat.ai/video/7440543111622692118
Horse Analytics Download the App for free and track your ride with our gait analysis! [Google Play logo] [App Store logo],benefit_promise,baseline,2.713276836,0.2487,3842,172,2,0,21,11-26,en,Health & Fitness,Chronic Condition Management,2022,happiehorse_app,https://www.tiktok.com/@happiehorse_app/video/7113613980244987141
AI Baby Generator @babyfacemaker When he gets too excited after seeing our future baby and does it without any foreplay:,benefit_promise,baseline,2.608,0.2322,3097,10,0,1,20,11-26,en,Entertainment,Meme Generators,2024,babygeneratorfacemaker,https://www.tiktok.com/@babygeneratorfacemaker/video/7388932739560508677
I created a social fitness app so you don't have to use the Notes app,benefit_promise,baseline,2.48489261,0.2128,6826,388,9,2,15,11-26,en,Health & Fitness,Workout Trackers,2021,corecircle,https://www.tiktok.com/@corecircle/video/7017955789306400005
Turn any boring article into viral videos in minutes🤔,benefit_promise,baseline,2.431558935,0.2047,1279,19,3,1,9,6-10,en,Photo & Video,Video Editing,2024,zebracat.ai,https://www.tiktok.com/@zebracat.ai/video/7435901110692384033
Creating a Professional Commercial in 60 Seconds!,benefit_promise,baseline,2.285171103,0.1796,1202,25,2,5,7,6-10,en,Photo & Video,Video Editing,2023,zebracat.ai,https://www.tiktok.com/@zebracat.ai/video/7316547370085371168
LOS ANGELES: Get Headspace for free!,benefit_promise,baseline,2.180036742,0.1604,17800,258,11,19,6,6-10,en,Health & Fitness,Meditation & Mindfulness,2022,headspace,https://www.tiktok.com/@headspace/video/7169300903931972907
"Oh, I DO take pictures of my meals! Like it's literally the easiest way to track food...",benefit_promise,baseline,2.167434716,0.1582,2822,37,2,0,17,11-26,en,Health & Fitness,Diet & Nutrition,2024,bitepal.app,https://www.tiktok.com/@bitepal.app/video/7388995447643278598
Landing Salty Springs just to get cooked in 3 seconds by a 9 year old,benefit_promise,baseline,2.013673089,0.1292,1620,208,2,1,15,11-26,en,Games,Action & Adventure,2023,ignitetournaments,https://www.tiktok.com/@ignitetournaments/video/7299196445440118047
Turn any boring idea into viral videos in minutes,benefit_promise,baseline,1.984790875,0.1225,1044,17,2,5,9,6-10,en,Photo & Video,Video Editing,2024,zebracat.ai,https://www.tiktok.com/@zebracat.ai/video/7438497514782739734
Turn any link into viral videos in minutes,benefit_promise,baseline,1.91634981,0.1063,1008,3,1,0,8,6-10,en,Photo & Video,Video Editing,2024,zebracat.ai,https://www.tiktok.com/@zebracat.ai/video/7440421840301903126
Wallpapers you NEVER seeing again 👉,benefit_promise,baseline,1.905771496,0.1042,161800,7805,72,822,6,6-10,en,Entertainment,Fan Communities,2024,wallpiics,https://www.tiktok.com/@wallpiics/photo/7436116509996502304
Watching my 1 hour finance lecture in 30 seconds,benefit_promise,baseline,1.710900474,0.0614,2527,97,0,8,9,6-10,en,Education,AI Study Tools,2024,get_turbolearn.ai,https://www.tiktok.com/@get_turbolearn.ai/video/7393066687064558891
download for free today and God bless,benefit_promise,baseline,1.683903253,0.0557,2019,53,0,3,7,6-10,en,Lifestyle,Mindfulness & Self-Care,2024,hallowapp,https://www.tiktok.com/@hallowapp/video/7374938537625554222
BOSTON CELTICS NBA 2024 WORLD CHAMPIONS wallpapers you will never see again in your life,benefit_promise,baseline,1.639575972,0.0456,139200,3852,50,426,15,11-26,en,Entertainment,Fan Communities,2024,wallpiics,https://www.tiktok.com/@wallpiics/photo/7382337220855729441
Versus me finding OLIO - the app where I can share surplus food with my neighbours for free.,comparative,exceptional,3976.143141,0.9974,2000000,21500,18,30,18,11-26,en,Lifestyle,Sustainable Living,2021,olio.app,https://www.tiktok.com/@olio.app/video/7006365028987178246
A dog's guide In vs Out 2024,comparative,exceptional,2724.430549,0.9952,6100000,31500,283,499,7,6-10,en,Shopping,Pet Shopping,2024,petsmart,https://www.tiktok.com/@petsmart/video/7322227329760038190
Scanning food products in a typical food scanner app vs Trash Panda,comparative,exceptional,960.0451467,0.9838,425300,706,27,161,12,11-26,en,Health & Fitness,Diet & Nutrition,2024,trashpanda_app,https://www.tiktok.com/@trashpanda_app/video/7428306863516585246
"Remind Me Lord Dear God, If today I lose my hope, please remind me that your plans are always better than my dreams.",comparative,exceptional,954.6539379,0.9836,3000000,257600,1914,25400,23,11-26,en,Shopping,E-commerce Marketplaces,2022,holstrengthdaily,https://www.tiktok.com/@holstrengthdaily/video/7149611479682026798
vs. what they get ✨,comparative,exceptional,759.9145096,0.98,4800000,181700,283,11000,5,3-5,en,Entertainment,None of the above,2023,partiful,https://www.tiktok.com/@partiful/video/7258705728028921131
"""Finally a book tracker better than Goodreads""",comparative,exceptional,406.4809551,0.9651,357500,4895,22,16,7,6-10,en,Books,Reading Trackers,2023,booklyapp,https://www.tiktok.com/@booklyapp/video/7247605705333673242
"""When you were manifesting a hot and steamy summer but the universe sends a heatwave instead of the love of your life""",comparative,exceptional,261.3809628,0.951,1200000,41200,58,1050,22,11-26,en,Lifestyle,Dating Apps,2023,bumble,https://www.tiktok.com/@bumble/video/7264734414478003502
let's play WHICH IS WHICH CHALLENGE!,comparative,exceptional,261.2612613,0.9509,2900000,3136,31,182,6,6-10,en,Food & Drink,Food Delivery,2024,foodpandaph,https://www.tiktok.com/@foodpandaph/video/7405107718459034888
Your daily reminder that you deserve better than your ex,comparative,high,243.1192661,0.9481,10600000,200600,940,889,10,6-10,en,Health & Fitness,Meditation & Mindfulness,2021,withjour,https://www.tiktok.com/@withjour/video/6945063034729663750
97.0 A My Grades 🥰 VS My Friends' 😄 67.5 D,comparative,high,140.8560311,0.9222,18100,42,0,3,11,11-26,ko,Education,AI Study Tools,2024,uknow.ai_official,https://www.tiktok.com/@uknow.ai_official/video/7437131066357337386
Scarred vs. Scared,comparative,high,93.74863864,0.8978,430400,818,1,2,3,3-5,en,Lifestyle,Dating Apps,2023,bumble,https://www.tiktok.com/@bumble/video/7303026592190680362
KANYE WEST VS NBA YOUNGBOY Sorry YB... I accepted this trade instantly lol,comparative,high,68.63494269,0.876,197600,12400,177,155,13,11-26,en,Music,Concert Finder,2024,bestofsoundmap,https://www.tiktok.com/@bestofsoundmap/photo/7415394990123224363
AI knows my life better than I do 😂,comparative,high,68.28358209,0.8755,146400,2808,31,216,9,6-10,en,Business,HR & Payroll,2024,finalroundai.com,https://www.tiktok.com/@finalroundai.com/video/7375235788516101419
JAPAN TRAVEL TIPS Kawaguchiko or Hakone? Kawaguchiko vs Hakone? 🏔️ you should go to both!,comparative,high,57.90586991,0.8625,109500,5083,66,1126,15,11-26,en,Travel,Itinerary Planning,2024,klook_usa,https://www.tiktok.com/@klook_usa/video/7432842156349443358
Bougie vs. budget in Las Vegas 💸💰,comparative,high,49.68203498,0.8486,312500,4030,34,359,7,6-10,la,Finance,Budgeting & Expense Tracking,2023,super,https://www.tiktok.com/@super/video/7279138505853357355
USA vs. SPAIN Fanta Soda as you can see the colors are extremely,comparative,high,43.39622642,0.8362,13800,68,0,25,13,11-26,en,Food & Drink,Food Journaling,2024,gococo_app,https://www.tiktok.com/@gococo_app/video/7377470889362787614
JP Transit: What’s the difference between JR Pass and IC card? JAPAN TRAVEL TIPS JR Pass vs IC Card,comparative,high,38.49814913,0.8226,72800,1485,101,223,19,11-26,en,Travel,Itinerary Planning,2024,klook_usa,https://www.tiktok.com/@klook_usa/video/7381632899713453342
Future so much better than Ye 😭,comparative,high,37.47829107,0.8197,107900,191,39,4,7,6-10,en,Music,Concert Finder,2025,bestofsoundmap,https://www.tiktok.com/@bestofsoundmap/video/7455770138982272302
Me performing a concert for my stuffed animals instead of studying for my summer classes,comparative,high,37.47555556,0.8196,843200,68600,293,1437,15,11-26,en,Education,Study Aids & Flashcards,2023,quizlet,https://www.tiktok.com/@quizlet/video/7247272484804840747
Instead of say Very hard 😱 Difficult,comparative,strong,26.0328921,0.776,259600,10800,49,1053,7,6-10,en,Education,Language Learning,2024,busuu,https://www.tiktok.com/@busuu/video/7437551909864525089
学校で習う英語 カジュアル英語 Are you crazy? おかしいんじゃない? Are you nuts? 頭がくね? カジュアル英語 VS 学校で習う英語,comparative,strong,25.25172414,0.7721,732300,30600,48,131,13,11-26,ja,Education,Language Learning,2024,fluenday.japan,https://www.tiktok.com/@fluenday.japan/video/7326011852662574354
Welsh Irish Reply to xyzire's comment Fluent Irish speaker here Languages of the British Isles: English vs. Irish vs. Scottish vs. Welsh Scottish English,comparative,strong,24.88741722,0.77,375800,15700,322,980,24,11-26,en,Education,Language Learning,2025,babbel,https://www.tiktok.com/@babbel/video/7456815280224931118
