hook,archetype,tier,om,om_pct,views,likes,comments,shares,words,word_band,lang,main_category,subcategory,year,username,permalink
That's why you can't lose weight 😅,other,exceptional,4285.340998,0.9978,8200000,38800,35,672,7,6-10,en,Health & Fitness,Diet & Nutrition,2024,hitmeal_app,https://www.tiktok.com/@hitmeal_app/video/7419318365623307550
*Ooo what is this new app?*,other,exceptional,4165.702384,0.9976,9000000,649500,1743,1147,6,6-10,en,Lifestyle,Home Decor & DIY,2022,realizedesign,https://www.tiktok.com/@realizedesign/video/7130699973406182702
Curing my winter blues with Wayfair,other,exceptional,4130.352406,0.9975,10900000,17500,106,575,6,6-10,en,Lifestyle,Home Decor & DIY,2024,wayfair,https://www.tiktok.com/@wayfair/video/7329524443062013227
CAMERA1 IPHONE TAPPA MICHIGAN 00:22:09 AM. 9. 00,other,exceptional,4030.576789,0.9975,5800000,646700,5479,2018,8,6-10,en,Photo & Video,Video Editing,2021,dizzi_app,https://www.tiktok.com/@dizzi_app/video/6947723561578663173
Spot the difference,other,exceptional,3831.188267,0.9974,12800000,301200,1036,343,3,3-5,en,Photo & Video,Photo Editing,2022,glowupapp,https://www.tiktok.com/@glowupapp/video/7143807530408480001
"""vou ser se minha colega tá muito ocupada"" ela escolhendo o que pedir de lanche da tarde no airfome",other,exceptional,3496.769289,0.9971,4600000,11100,97,98,19,11-26,pt,Food & Drink,Food Delivery,2023,aiqfome,https://www.tiktok.com/@aiqfome/video/7278761457653714182
18-year-old sues parents for posting baby pictures on Facebook,other,exceptional,3429.918033,0.997,836900,80700,2342,1970,9,6-10,en,Social Networking,Photo Sharing,2022,footprint_family_app,https://www.tiktok.com/@footprint_family_app/video/7168469334355135790
Father takes a photo of his daughter every week until she turned 17😊,other,exceptional,3374.17152,0.9969,8400000,737400,1095,25200,13,11-26,en,Photo & Video,Slideshow Creators,2024,chatbooks,https://www.tiktok.com/@chatbooks/video/7429035352616111403
"Asked Al about my future kids, and the video... I CAN'T EVEN 😱 (App: Cloneai)",other,exceptional,3235.815603,0.9968,21900000,182100,4194,29900,15,11-26,en,Entertainment,Meme Generators,2024,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7445006260530990343
Not a morning person,other,exceptional,3180.212014,0.9966,3600000,11800,140,167,4,3-5,en,Health & Fitness,Sleep Analysis,2023,sleepwave.app,https://www.tiktok.com/@sleepwave.app/video/7275667596593171744
"Picsolve can do everything else: Hmm, that doesn't look right Photomath for everything but math",other,exceptional,3157.743649,0.9966,22000000,2400000,5079,65900,15,11-26,en,Education,AI Study Tools,2023,picsolve,https://www.tiktok.com/@picsolve/video/7198023326378364203
be HER this 2024,other,exceptional,3103.214286,0.9965,868900,16500,32,36,4,3-5,en,Productivity,Habit Trackers,2024,do.habits,https://www.tiktok.com/@do.habits/video/7319217168338423073
It started on Bumble,other,exceptional,3093.008059,0.9964,14200000,15400,0,540,4,3-5,en,Lifestyle,Dating Apps,2022,bumble,https://www.tiktok.com/@bumble/video/7174867001712643374
Checking my pandapay account for my pandapro CASHBACK,other,exceptional,3045.045045,0.9964,33800000,27500,611,4335,8,6-10,tl,Food & Drink,Food Delivery,2025,foodpandaph,https://www.tiktok.com/@foodpandaph/video/7460008664087186706
Elon Musk as a space warrior,other,exceptional,2989.130435,0.9962,2200000,6458,52,51,6,6-10,en,Photo & Video,Meme Creators,2022,arta_app,https://www.tiktok.com/@arta_app/video/7173676892137049387
Enjoy the music,other,exceptional,2935.889754,0.9961,4900000,31700,455,576,3,3-5,en,Entertainment,Karaoke Apps,2022,ringtuneapp,https://www.tiktok.com/@ringtuneapp/video/7163564934142397738
The coolest app for vlogging ✨ Check out Reelshot right now!,other,exceptional,2917.617866,0.9959,587900,9569,58,161,11,11-26,en,Photo & Video,Video Editing,2023,reelshot.app,https://www.tiktok.com/@reelshot.app/video/7222231571820989702
Lost my AirPods,other,exceptional,2907.986111,0.9958,6700000,282100,1013,9564,3,3-5,es,Utilities,Accessibility Tools,2023,findmyairpodsbickster,https://www.tiktok.com/@findmyairpodsbickster/video/7191916578810662186
Thinking about how much I could have set aside if I knew about Plum sooner,other,exceptional,2883.865939,0.9957,3700000,10700,50,34,15,11-26,en,Finance,Banking Apps,2023,plumapp,https://www.tiktok.com/@plumapp/video/7311342918407703840
Facetune forever! 💖✨ FACETUNEEEEE Shared the LIVE,other,exceptional,2842.524161,0.9955,5000000,2329,35,255,7,6-10,en,Photo & Video,Photo Editing,2024,facetune_by_lightricks,https://www.tiktok.com/@facetune_by_lightricks/video/7447904397490687249
Me My Boyfriend Ai Video Little me just met little him😊,other,exceptional,2792.553191,0.9954,18900000,211600,261,13100,11,11-26,no,Entertainment,Meme Generators,2024,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7405193746683415829
Questo è il tuo segno per un viaggio in Cappadocia,other,exceptional,2683.020314,0.9952,3500000,3486,44,302,10,6-10,it,Travel,Local Guides,2024,civitatis_it,https://www.tiktok.com/@civitatis_it/video/7352284788599868704
A spot 🕊 ours 🌹,other,exceptional,2662.852113,0.9951,12100000,48500,538,1485,5,3-5,am,Travel,Adventure Travel,2023,civitatis,https://www.tiktok.com/@civitatis/video/7226420910771801349
"Looking for a man in finance - Wonderskin - When dating apps aren't working, hand out oat flat whites",other,exceptional,2561.71402,0.9949,11000000,1000000,3583,62800,19,11-26,en,Shopping,Luxury Goods,2024,wonderskin,https://www.tiktok.com/@wonderskin/video/7374441730789149984
My twin boys discovering each other for the first time 😂😭,other,exceptional,2450.291223,0.9945,6100000,675700,5515,63100,11,11-26,en,Photo & Video,Slideshow Creators,2024,chatbooks,https://www.tiktok.com/@chatbooks/video/7445436866008026399
"Finding out PetSmart has lowered prices on over 1,000 items 😍",other,exceptional,2411.790978,0.9944,5400000,17700,154,521,11,11-26,en,Shopping,Pet Shopping,2024,petsmart,https://www.tiktok.com/@petsmart/video/7422443012027862314
okay now where's the ball,other,exceptional,2233.139795,0.9941,5000000,37400,159,736,5,3-5,en,Shopping,Pet Shopping,2023,petsmart,https://www.tiktok.com/@petsmart/video/7302170645582925098
The image is completely black and does not contain any text or emojis.,other,exceptional,2197.802198,0.9939,2000000,219500,3484,2455,13,11-26,en,Social Networking,Messaging Apps,2023,meetai.app_chat.with.ai,https://www.tiktok.com/@meetai.app_chat.with.ai/video/7254778259420843266
VDay picks with @afterpayusa,other,exceptional,2171.581769,0.9939,40500000,262900,538,1081,4,3-5,en,Shopping,Cashback Platforms,2021,afterpayusa,https://www.tiktok.com/@afterpayusa/video/6927100266068118789
Guess the country Food Edition,other,exceptional,2170.35217,0.9938,5300000,25600,309,322,5,3-5,en,Food & Drink,Calorie Counters,2024,yazioapp,https://www.tiktok.com/@yazioapp/video/7442279079979650326
Brushing my teeth bc my virtual self care pet told me to 😂,other,exceptional,2141.891892,0.9937,31700000,182100,1412,2124,13,11-26,en,Health & Fitness,Meditation & Mindfulness,2024,finchcare,https://www.tiktok.com/@finchcare/video/7369396217576557866
the knot EXCLUSIVE,other,exceptional,2117.061021,0.9936,3400000,717300,941,12700,3,3-5,en,Lifestyle,Event Planning,2024,theknot,https://www.tiktok.com/@theknot/photo/7400770768725953822
Tinder You got a new match! 😍😍😍,other,exceptional,2092.592593,0.9936,22600000,93300,3070,3186,7,6-10,hr,Social Networking,Friend Finders,2024,tinder,https://www.tiktok.com/@tinder/photo/7350351614609313055
"¿Qué te espera en la excursión a Guatapé, Colombia? 🚶‍♂️ Prepárate para una experiencia única en Guatapé.",other,exceptional,2046.65493,0.9935,9300000,7609,87,667,17,11-26,es,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7446883785737506081
Passive aggressive teacher POV passive aggressive teacher connor Beefin with 12 year olds,other,exceptional,1987.486198,0.9933,2700000,20400,156,100,13,11-26,en,Health & Fitness,Meditation & Mindfulness,2023,getclearspace,https://www.tiktok.com/@getclearspace/video/7317234245179608366
Free 360 Camera tap record button once to begin,other,exceptional,1974.61213,0.9932,9800000,36000,787,401,9,6-10,en,Photo & Video,Camera Tools,2023,polycam3d,https://www.tiktok.com/@polycam3d/video/7242035167689493806
A social experiment to see if people ACTUALLY want to help each other,other,exceptional,1952.410006,0.9931,1600000,67600,656,689,13,11-26,en,Social Networking,Anonymous Platforms,2022,sincerelyapp,https://www.tiktok.com/@sincerelyapp/video/7160044731710344490
Créditos: Fallon Chan Hoy os traemos sitios no tan turísticos de Nueva York SITIOS NO TAN TURÍSTICOS,other,exceptional,1826.584507,0.9928,8300000,17000,44,363,17,11-26,es,Travel,Adventure Travel,2023,civitatis,https://www.tiktok.com/@civitatis/video/7295733635750137121
NEW PRIDE STICKERS JUST DROPPED Add a badge to your Tinder profile to show and celebrate your pride all month long. CAME OUT ONLINE,other,exceptional,1796.296296,0.9927,19400000,3207,185,295,24,11-26,en,Social Networking,Friend Finders,2023,tinder,https://www.tiktok.com/@tinder/video/7242023184768372014
Você tem vontade de ir pra Jordânia? Marque a pessoa que iria com você!,other,exceptional,1786.439302,0.9926,2200000,5890,34,700,14,11-26,pt,Travel,Local Guides,2024,civitatis_br,https://www.tiktok.com/@civitatis_br/video/7407530009805524256
Wandering SoHo building the map of my life on Superlocal,other,exceptional,1766.582915,0.9925,703100,2188,85,39,10,6-10,en,Navigation,GPS & Maps,2023,superlocal.explorers,https://www.tiktok.com/@superlocal.explorers/video/7295038302099475754
To Read Read,other,exceptional,1705.514497,0.9924,1500000,22700,106,107,3,3-5,en,Books,Reading Trackers,2023,booklyapp,https://www.tiktok.com/@booklyapp/video/7314324783875902752
It Starts with a Swipe,other,exceptional,1703.703704,0.9923,18400000,67500,2881,21300,5,3-5,en,Social Networking,Friend Finders,2025,tinder,https://www.tiktok.com/@tinder/video/7455023864532323627
Cosas que hicimos en nuestra boda que tenían total sentido 💍,other,exceptional,1672.405312,0.9922,3400000,263400,358,13500,11,11-26,es,Photo & Video,Story Templates,2024,povapp.esp,https://www.tiktok.com/@povapp.esp/video/7336036504222944517
FEELS APP -highlights personality -question prompts to learn more about others -videos encouraged on profiles ACTUALLY GET TO KNOW FRIENDS/POTENTIAL PARTNERS NEAR YOU!,other,exceptional,1612.903226,0.9921,1600000,3595,29,54,23,11-26,en,Social Networking,Friend Finders,2023,feels_app,https://www.tiktok.com/@feels_app/video/7189747729495559429
I'll walk away with this in my heart forever.,other,exceptional,1609.36357,0.992,2200000,8326,0,77,9,6-10,en,Entertainment,Movie Recommendation Tools,2022,xfinity,https://www.tiktok.com/@xfinity/video/7174498493715844395
Bienvenido a Osaka!,other,exceptional,1606.514085,0.9919,7300000,12200,37,1236,3,3-5,pt,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7443914803204164896
*GPA 4.0 POV We ended high school with good grades,other,exceptional,1596.108949,0.9919,205100,2377,6,22,10,6-10,en,Education,AI Study Tools,2024,uknow.ai_official,https://www.tiktok.com/@uknow.ai_official/video/7436716391803178283
"contour, lip colors, you name it,",other,exceptional,1591.81353,0.9918,2800000,798,2,12,6,6-10,fr,Photo & Video,Photo Editing,2023,facetune_by_lightricks,https://www.tiktok.com/@facetune_by_lightricks/video/7276330362064751880
Esta es tu señal para viajar a Capadocia,other,exceptional,1584.507042,0.9917,7200000,3807,24,176,8,6-10,es,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7352188033170541857
"My boss: ""Let's give the entire marketing budget to a tik tokker! How bad could it be?""",other,exceptional,1570.247934,0.9916,1900000,190200,114,170,17,11-26,en,Finance,Financial Literacy Tools,2023,joinfizz,https://www.tiktok.com/@joinfizz/video/7252755214971784491
Me getting a little too honest during my 1 on 1s with my manager,other,exceptional,1550.387597,0.9915,2200000,264300,527,47200,14,11-26,en,Entertainment,Fan Communities,2024,getashelf,https://www.tiktok.com/@getashelf/video/7416422509068733739
I wonder if she beat me home..😊,other,exceptional,1531.508913,0.9914,6100000,355100,674,94500,7,6-10,en,Shopping,E-commerce Marketplaces,2024,togetherkeys1,https://www.tiktok.com/@togetherkeys1/video/7421567820015652138
"The text in the image reads: ""Woman Yelling at Cat.""",other,exceptional,1529.472418,0.9914,8900000,452800,3482,114900,10,6-10,en,Photo & Video,Video Editing,2024,aivideoapp,https://www.tiktok.com/@aivideoapp/video/7432327919713668372
"Sunday, September 25 5:03 Themify Stylish widgets for your Lock Screen.",other,exceptional,1511.627907,0.9913,2600000,21200,22,36,11,11-26,en,Photo & Video,None of the above. The text seems to be related to a wallpaper and icon customization app.,2022,themify_app,https://www.tiktok.com/@themify_app/video/7147320798376676654
Be friends More than friends TBD Choose a path! Uhhh Ok,other,exceptional,1511.254019,0.9912,9400000,546600,5269,23400,11,11-26,en,Entertainment,Fan Communities,2024,daze.chat,https://www.tiktok.com/@daze.chat/video/7415726395835469102
Me younger self Hugging my younger self bc she never gave up on me (app:cloneai),other,exceptional,1507.092199,0.9912,10200000,72700,182,974,15,11-26,en,Entertainment,Meme Generators,2024,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7407130758545984789
I asked AI to create my avatar,other,exceptional,1494.565217,0.9909,1100000,4407,72,60,7,6-10,en,Photo & Video,Meme Creators,2023,arta_app,https://www.tiktok.com/@arta_app/video/7206254485797080363
NBAStore.com,other,exceptional,1477.477477,0.9908,16400000,24600,49,307,1,0-2,en,Food & Drink,Food Delivery,2023,foodpandaph,https://www.tiktok.com/@foodpandaph/video/7241438048901238022
"The text in the image is: ""BRASILERA""",other,exceptional,1452.464789,0.9908,6600000,38700,127,1835,7,6-10,en,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7410154372065152289
Don’t drop the ball Challenge,other,exceptional,1442.585113,0.9906,5000000,174100,724,60100,5,3-5,en,Business,HR & Payroll,2022,hiredly.official,https://www.tiktok.com/@hiredly.official/video/7149033887727996187
Washing my face bc my virtual self care pet told me to 💀,other,exceptional,1418.918919,0.9905,21000000,131400,800,1275,13,11-26,en,Health & Fitness,Meditation & Mindfulness,2024,finchcare,https://www.tiktok.com/@finchcare/video/7365923849763966251
Maximize your PTO in 2025,other,exceptional,1398.601399,0.9903,1200000,15400,194,7728,5,3-5,en,Finance,Financial Literacy Tools,2024,nerdwallet,https://www.tiktok.com/@nerdwallet/video/7445425791699209518
Biggest green flag: They use Trash Panda while grocery shopping 😍,other,exceptional,1322.799097,0.9898,586000,1210,17,20,11,11-26,en,Health & Fitness,Diet & Nutrition,2024,trashpanda_app,https://www.tiktok.com/@trashpanda_app/video/7444681611821550879
These free apps are my girl therapy 💁🏼‍♀️💪🏼💖❤️ 12+ productivity apps free for one year,other,exceptional,1320.0,0.9896,369600,5996,6,23,15,11-26,la,Productivity,Habit Trackers,2024,do.habits,https://www.tiktok.com/@do.habits/video/7319411138884586784
@breathquestapp What's your lung capacity? Difficulty: very hard Inhale Breath detection connected,other,exceptional,1313.6289,0.9896,3200000,67000,3821,3985,12,11-26,en,Health & Fitness,Meditation & Mindfulness,2024,breathquestapp,https://www.tiktok.com/@breathquestapp/video/7422145619034246430
Making my bed to make my self care pet happy 😂,other,exceptional,1304.054054,0.9894,19300000,178300,709,1597,11,11-26,en,Health & Fitness,Meditation & Mindfulness,2024,finchcare,https://www.tiktok.com/@finchcare/video/7368551995138968875
This Stamina Breath will increase your lungs capacity Bigger Lungs,other,exceptional,1297.142857,0.9893,22700000,2600000,87200,51600,10,6-10,en,Health & Fitness,Meditation & Mindfulness,2021,breathenow.app,https://www.tiktok.com/@breathenow.app/video/7015971969615039749
I love it 😍,other,exceptional,1295.996297,0.9892,2800000,315000,426,1762,4,3-5,en,Lifestyle,Home Decor & DIY,2023,realizedesign,https://www.tiktok.com/@realizedesign/video/7295969910566538539
*GPA 4.0 TikTok @pembantu.kecil POV We ended high school with good grades,other,exceptional,1291.828794,0.9891,166000,2330,7,10,12,11-26,en,Education,AI Study Tools,2024,uknow.ai_official,https://www.tiktok.com/@uknow.ai_official/video/7436826086656412974
omg they made a BeReal for music,other,exceptional,1288.659794,0.9891,3500000,526500,12400,90000,7,6-10,en,Music,Streaming Platforms,2023,mubr_app_widget,https://www.tiktok.com/@mubr_app_widget/video/7191242494850370859
Im sorry Taylor. I’m accepting this trade immediately,other,exceptional,1285.168461,0.9889,3700000,44300,508,334,8,6-10,en,Music,Concert Finder,2024,bestofsoundmap,https://www.tiktok.com/@bestofsoundmap/video/7429746538684910891
The Meetup experience,other,exceptional,1278.848728,0.9889,955300,513,10,7,3,3-5,en,Social Networking,Event-Based Networks,2023,meetup,https://www.tiktok.com/@meetup/video/7190777735113903406
Meeting guys on Archer:,other,exceptional,1252.408478,0.9888,1300000,7397,97,77,4,3-5,en,Social Networking,Dating Apps,2023,archerdating,https://www.tiktok.com/@archerdating/video/7292523435895377198
Raiders of the Lost Ark Jaws Raging Bull,other,exceptional,1250.868659,0.9887,1800000,68000,401,561,8,6-10,en,Photo & Video,Video Editing,2021,dizzi_app,https://www.tiktok.com/@dizzi_app/video/6952231309657771270
Basically you're forced to learn,other,exceptional,1239.849624,0.9886,494700,24900,143,2963,5,3-5,en,Photo & Video,Video Editing,2023,submagicai,https://www.tiktok.com/@submagicai/video/7251275449240800538
Excursión a Belfast y la Calzada del Gigante Desde Dublín.,other,exceptional,1232.394366,0.9885,5600000,23600,61,764,10,6-10,es,Travel,Adventure Travel,2023,civitatis,https://www.tiktok.com/@civitatis/video/7309439568929901856
I am outside of sprouts Grocery Shopping Hack,other,exceptional,1232.27991,0.9884,545900,3182,130,1857,8,6-10,en,Health & Fitness,Diet & Nutrition,2023,trashpanda_app,https://www.tiktok.com/@trashpanda_app/video/7245395697011412266
"""I'm so full!"" Also me, when someone mentions getting dessert",other,exceptional,1228.501229,0.9884,3000000,16100,169,1270,10,6-10,en,Food & Drink,Calorie Counters,2024,yazioapp,https://www.tiktok.com/@yazioapp/video/7368468878281788705
Professional toy hunters are on the search 👀,other,exceptional,1205.895489,0.9883,2700000,51300,166,1763,8,6-10,en,Shopping,Pet Shopping,2024,petsmart,https://www.tiktok.com/@petsmart/video/7410944024774839598
Convincing your work bestie to abandon their packed lunch & head to the chippy 🍟,other,exceptional,1187.045455,0.9882,522300,9179,125,8186,15,11-26,en,Shopping,Cashback Platforms,2024,airtimerewards,https://www.tiktok.com/@airtimerewards/video/7376974338915896609
We asked our employees how many followers they think we have on TikTok,other,exceptional,1174.875734,0.988,1300000,43800,419,145,13,11-26,en,Travel,Travel Safety,2023,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7241188133868539137
Automation is 🔑 when they say they don't automate their savings and investments capital at risk,other,exceptional,1169.13484,0.9879,1500000,3253,31,15,16,11-26,en,Finance,Banking Apps,2021,plumapp,https://www.tiktok.com/@plumapp/video/7045279771537755398
Plumsters 😍 seeing plumsters get more comfortable investing their money capital at risk,other,exceptional,1169.13484,0.9879,1500000,4460,40,11,13,11-26,en,Finance,Banking Apps,2021,plumapp,https://www.tiktok.com/@plumapp/video/7044936738766064901
My grades before... VS,other,exceptional,1168.871595,0.9878,150200,818,3,24,4,3-5,es,Education,AI Study Tools,2024,uknow.ai_official,https://www.tiktok.com/@uknow.ai_official/video/7436323915032661294
took literally seconds to Thanks to LiDAR,other,exceptional,1148.498892,0.9873,5700000,10000,172,854,7,6-10,en,Photo & Video,Camera Tools,2022,polycam3d,https://www.tiktok.com/@polycam3d/video/7177160008319241515
A Torre Eiffel tá fechada? 😱,other,exceptional,1136.82501,0.9872,1400000,5437,49,297,6,6-10,is,Travel,Local Guides,2024,civitatis_br,https://www.tiktok.com/@civitatis_br/video/7321747855671168289
Record-corner upgrade with Wayfair,other,exceptional,1136.79424,0.9871,3000000,6242,97,473,4,3-5,en,Lifestyle,Home Decor & DIY,2024,wayfair,https://www.tiktok.com/@wayfair/video/7334731206078041387
"Soulway App My dear girl,",other,exceptional,1136.137134,0.9871,5700000,725400,45500,72000,5,3-5,sv,Lifestyle,Mindfulness & Self-Care,2023,soulwayapp,https://www.tiktok.com/@soulwayapp/video/7213092929282395398
asking boys questions about periods,other,exceptional,1131.126938,0.987,2700000,66700,354,881,5,3-5,fr,Health & Fitness,Menstrual Cycle Trackers,2024,wearelunaapp,https://www.tiktok.com/@wearelunaapp/video/7443899987718655265
Me introducing myself to my coworkers,other,exceptional,1127.554616,0.9869,1600000,176600,453,57200,6,6-10,en,Entertainment,Fan Communities,2025,getashelf,https://www.tiktok.com/@getashelf/video/7457278062900759850
cute apps to get with your partner 💖 part 1.,other,exceptional,1111.111111,0.9869,4000000,575000,21800,124900,10,6-10,en,Music,Streaming Platforms,2023,itsmubrapp,https://www.tiktok.com/@itsmubrapp/photo/7216434213585718571
up to 50% OFF daily,other,exceptional,1108.108108,0.9867,12300000,24900,222,661,5,3-5,en,Food & Drink,Food Delivery,2023,foodpandaph,https://www.tiktok.com/@foodpandaph/video/7253038732893277446
up to 50% OFF daily T&Cs apply.,other,exceptional,1108.108108,0.9867,12300000,21300,190,617,7,6-10,en,Food & Drink,Food Delivery,2023,foodpandaph,https://www.tiktok.com/@foodpandaph/video/7253040399244152069
Taking it personally,other,exceptional,1100.0,0.9865,1100000,9158,103,507,3,3-5,en,Health & Fitness,Meditation & Mindfulness,2023,betterhelp,https://www.tiktok.com/@betterhelp/video/7229836824393436459
I think so many of us are trying to FIGHT WITHOUT FIGHTING,other,exceptional,1100.0,0.9865,1100000,3226,6,294,12,11-26,en,Health & Fitness,Meditation & Mindfulness,2023,betterhelp,https://www.tiktok.com/@betterhelp/video/7258354218623339818
Gottman Tips for Couples ost important thing that you can do,other,exceptional,1100.0,0.9865,1100000,1162,1,163,11,11-26,en,Health & Fitness,Meditation & Mindfulness,2024,betterhelp,https://www.tiktok.com/@betterhelp/video/7406450996790054174
"HAASON REDD Haason Reddick here, pro football player for Philly,",other,exceptional,1097.293343,0.9864,1500000,7921,0,3,10,6-10,en,Entertainment,Movie Recommendation Tools,2023,xfinity,https://www.tiktok.com/@xfinity/video/7249435440535588142
Live the dream life on us 💙,other,exceptional,1084.500678,0.9863,1200000,5105,8,117,7,6-10,en,Travel,Travel Safety,2024,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7358105729439419664
Mark countries you’ve been,other,exceptional,1080.796099,0.9861,4100000,9801,215,163,4,3-5,en,Travel,Trip Journals,2023,skratchworld,https://www.tiktok.com/@skratchworld/video/7272031344396389664
All Land on Earth,other,exceptional,1072.796935,0.9861,1400000,103700,1830,5535,4,3-5,en,Food & Drink,Cooking Tutorials,2024,forkranger,https://www.tiktok.com/@forkranger/video/7361773299891703073
quando minha marmita chega primeiro que a da minha amiga FOI MAL TAVA COM FOME!,other,exceptional,1064.234132,0.9859,1400000,5161,47,53,15,11-26,gl,Food & Drink,Food Delivery,2023,aiqfome,https://www.tiktok.com/@aiqfome/video/7270982135807331589
"Sorry, but luggage on the bed is not permitted.",other,exceptional,1061.007958,0.9858,2800000,5834,57,176,9,6-10,en,Lifestyle,Home Decor & DIY,2023,wayfair,https://www.tiktok.com/@wayfair/video/7289067370428239150
"Monday, March 13 3:11 Mon, Mar 13 No events today Your day is clear cute wallpapers for ios16 lockscreen",other,exceptional,1060.50701,0.9858,7300000,133300,1004,3330,19,11-26,en,Photo & Video,Photo Editing,2023,epikapp,https://www.tiktok.com/@epikapp/video/7210947623891602695
Interviewing Avantika in her dorm room Reply to astrophysics barbie 🌞's comment i know a dorm room when i see one,other,exceptional,1057.082452,0.9856,1500000,142700,328,596,21,11-26,en,Entertainment,Fan Communities,2024,getashelf,https://www.tiktok.com/@getashelf/video/7324928457236860202
No te enamores solo de las vistas,other,exceptional,1056.338028,0.9856,4800000,6457,32,147,7,6-10,es,Travel,Adventure Travel,2023,civitatis,https://www.tiktok.com/@civitatis/video/7244131959822224666
Apps you need to dowoland,other,exceptional,1055.555556,0.9854,3800000,591000,7092,34800,5,3-5,en,Music,Streaming Platforms,2023,itsmubrapp,https://www.tiktok.com/@itsmubrapp/video/7229809922882456874
Floor Planning with Polycam,other,exceptional,1047.753375,0.9854,5200000,125400,570,1573,4,3-5,en,Photo & Video,Camera Tools,2022,polycam3d,https://www.tiktok.com/@polycam3d/video/7156333606053498155
foodpanda ME BOTH YOU This Christmas foodpanda!,other,exceptional,1045.045045,0.9853,11600000,228900,673,1212,7,6-10,en,Food & Drink,Food Delivery,2020,foodpandaph,https://www.tiktok.com/@foodpandaph/video/6886001928183008514
His interviewer has no idea that he’s using AI 😭,other,exceptional,1026.119403,0.9852,2200000,34100,179,3431,10,6-10,en,Business,HR & Payroll,2024,finalroundai.com,https://www.tiktok.com/@finalroundai.com/video/7454628215475440942
Hello! xfinity WITH minions THE RISE OF GRU ONLY IN THEATERS JULY 1,other,exceptional,1024.140454,0.9851,1400000,3391,0,49,13,11-26,en,Entertainment,Movie Recommendation Tools,2022,xfinity,https://www.tiktok.com/@xfinity/video/7112126573893111086
my favorite moodboard tool (that isn't pinterest),other,exceptional,1017.072285,0.9849,1400000,174300,163,8763,7,6-10,en,Social Networking,Photo Sharing,2024,inspirethecosmos,https://www.tiktok.com/@inspirethecosmos/video/7407080890410585374
Bri's Story My name is Bri founder of the SLAP Collective,other,exceptional,1014.457831,0.9848,757800,830,6,22,11,11-26,en,Social Networking,Event-Based Networks,2023,meetup,https://www.tiktok.com/@meetup/video/7200416216618569006
Me after the C.ai incident happened: *locks*,other,exceptional,1011.560694,0.9847,3500000,249200,2380,1066,7,6-10,en,Entertainment,Fan Communities,2024,girlfriendgpt,https://www.tiktok.com/@girlfriendgpt/video/7333278340805152007
