hook,intent,production,funnel,effort,is_template,usability,usability_band,archetype,tier,om,om_pct,views,words,word_band,lang,main_category,subcategory,year,username,permalink
How to make Your Period Shorter?,TEACH,SCREEN_DEMO,NURTURE,3,True,83.1,top,demonstration,high,194.2787584,0.9369,159600,6,6-10,en,Health & Fitness,Health Journals,2024,lemon8wellness,https://www.tiktok.com/@lemon8wellness/photo/7347746099035409710
how to make your photos blurry,TEACH,SCREEN_DEMO,NURTURE,3,True,82.3,top,demonstration,high,145.2749328,0.9241,1000000,6,6-10,en,Photo & Video,Photo Editing,2023,epikapp,https://www.tiktok.com/@epikapp/video/7202415972865608961
How to get a 4.0 while j*rking off in class 😏🍿,TEACH,SCREEN_DEMO,NURTURE,3,True,82.2,top,demonstration,high,138.0952381,0.9215,226200,11,11-26,en,Education,AI Study Tools,2024,andrew.from.turbo,https://www.tiktok.com/@andrew.from.turbo/video/7360241404339178794
How to make a Pawliday Hot Chocolate,TEACH,SCREEN_DEMO,NURTURE,3,True,81.9,top,demonstration,high,127.5569451,0.917,285600,7,6-10,en,Shopping,Pet Shopping,2023,petsmart,https://www.tiktok.com/@petsmart/video/7314063939795569963
POV you’re a creator that just wants a cup of coffee but....,RELATE,SKIT_OR_POV,REACH,3,True,81.9,top,pov_realism,high,129.1049383,0.9174,418300,12,11-26,en,Social Networking,Link Sharing/ Bio Management,2023,linktr.ee,https://www.tiktok.com/@linktr.ee/video/7273953566656679175
pov: you just found out that ed sheeran has now completed all the main math symbols with his album titles.,RELATE,SKIT_OR_POV,REACH,3,True,81.8,top,pov_realism,high,122.1804511,0.9143,97500,20,11-26,en,Social Networking,Video Communities,2023,okcool,https://www.tiktok.com/@okcool/video/7206035251594890501
Do you want to work,PROVOKE,TEXT_ON_BROLL,REACH,1,True,81.5,top,question,strong,12.52304965,0.6613,7063,5,3-5,en,Utilities,System Cleaners,2021,cleanmymac,https://www.tiktok.com/@cleanmymac/video/7037002316418927877
"If you asked me about silly hacker names, I would say they're very funny.",PROVOKE,TALKING_HEAD,REACH,2,True,81.4,top,direct_address,strong,27.80913289,0.7839,189700,14,11-26,en,Utilities,Network Tools,2025,surfshark,https://www.tiktok.com/@surfshark/video/7462363290149178646
how to get a cheap ipad! ipad pro >$500!,TEACH,SCREEN_DEMO,NURTURE,3,True,81.4,top,demonstration,high,111.5236876,0.9088,87100,9,6-10,en,Productivity,Note-Taking,2023,lemon8prod,https://www.tiktok.com/@lemon8prod/photo/7314708179344969003
How to make your iPhone camera more professional,TEACH,SCREEN_DEMO,NURTURE,3,True,80.7,top,demonstration,high,89.20502092,0.8949,266500,8,6-10,en,Shopping,E-commerce Marketplaces,2022,reboxed,https://www.tiktok.com/@reboxed/video/7078742888661650694
POV: you and your wife have a race every day to get home first😭❤️,RELATE,SKIT_OR_POV,REACH,3,True,79.8,high,pov_realism,high,71.07707758,0.8786,283100,14,11-26,en,Shopping,E-commerce Marketplaces,2024,togetherkeys1,https://www.tiktok.com/@togetherkeys1/video/7418641299047206174
HOW TO GET A 4.0 GPA IN 2024,TEACH,SCREEN_DEMO,NURTURE,3,True,79.5,high,demonstration,high,65.96009975,0.8723,317400,8,6-10,en,Lifestyle,Mindfulness & Self-Care,2024,lemon8_us,https://www.tiktok.com/@lemon8_us/photo/7410507393290767662
POV: You just found a way to save a bunch of money every month,RELATE,SKIT_OR_POV,REACH,3,True,79.2,high,pov_realism,high,62.29892761,0.8682,185900,14,11-26,en,Finance,Budgeting & Expense Tracking,2024,rocketmoney,https://www.tiktok.com/@rocketmoney/video/7343333093513727275
How to Get a Job in Canada as a Foreigner,TEACH,SCREEN_DEMO,NURTURE,3,True,79.1,high,demonstration,high,59.42028986,0.8645,49200,10,6-10,en,Productivity,Resume Builders,2022,kickresume,https://www.tiktok.com/@kickresume/video/7112363923919195398
POV: you just found the perfect AI-powered app to help you study effectively 😃,RELATE,SCREEN_DEMO,REACH,3,True,78.6,high,pov_realism,high,53.75155944,0.8566,452400,14,11-26,en,Education,AI Study Tools,2024,gauthofficial,https://www.tiktok.com/@gauthofficial/video/7332966424744299778
How to get a live Ronaldo SIUUUU wallpaper,TEACH,SCREEN_DEMO,NURTURE,3,True,78.5,high,demonstration,high,52.59383218,0.8542,11000000,8,6-10,en,Education,Study Aids & Flashcards,2022,kadama,https://www.tiktok.com/@kadama/video/7173372466406985006
Come with me to Westfield Century City to check out this brand new pop-up,SELL,TALKING_HEAD,CONVERT,2,True,77.5,high,product_showcase,strong,16.68520578,0.7119,15000,14,11-26,en,Entertainment,Celebrity News & Gossip,2023,wonderymedia,https://www.tiktok.com/@wonderymedia/video/7299572524571036971
How to make your phone aesthetically pleasing,TEACH,SCREEN_DEMO,NURTURE,3,True,77.4,high,demonstration,high,42.50223414,0.8339,237800,7,6-10,en,Utilities,Custom Widgets,2021,screenkit.app,https://www.tiktok.com/@screenkit.app/video/6994848179493686529
How to make a SOFTWARE ENGINEER RESUME In less than 15 seconds,TEACH,SCREEN_DEMO,NURTURE,3,True,77.2,high,demonstration,high,41.78743961,0.8316,34600,12,11-26,en,Productivity,Resume Builders,2022,kickresume,https://www.tiktok.com/@kickresume/video/7153302344476773638
How to: create a video In under 15 secs,TEACH,SCREEN_DEMO,NURTURE,3,True,77.1,high,question,high,40.88794106,0.8296,210900,9,6-10,en,Photo & Video,Video Editing,2023,mojo.app,https://www.tiktok.com/@mojo.app/video/7243818982493457707
POV: You’re a silly little bag getting made,RELATE,SKIT_OR_POV,REACH,3,True,77.0,high,pov_realism,high,39.75220772,0.8263,150800,8,6-10,en,Food & Drink,Food Delivery,2023,huel,https://www.tiktok.com/@huel/video/7239981434327272730
How to create a story for your best friend's birthday,TEACH,SCREEN_DEMO,NURTURE,3,True,76.5,high,demonstration,high,36.48701047,0.817,188200,10,6-10,en,Photo & Video,Video Editing,2021,mojo.app,https://www.tiktok.com/@mojo.app/video/7023415237390978310
If you asked me about taking photos of food,PROVOKE,TALKING_HEAD,REACH,2,True,75.3,high,direct_address,strong,13.05683564,0.6693,17000,9,6-10,en,Health & Fitness,Diet & Nutrition,2024,bitepal.app,https://www.tiktok.com/@bitepal.app/photo/7396743441864068358
DESTINOS EN EUROPA PARA ESTE VERANO 😎 ¿A cuáles de estos apuntarías y cuáles otros agregarías?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,75.0,high,question,exceptional,12125.88028,0.9998,55100000,16,11-26,es,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7369936845657869601
SCANNING...,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,75.0,high,reveal_tease,exceptional,10597.82609,0.9996,7800000,1,0-2,en,Photo & Video,Meme Creators,2022,arta_app,https://www.tiktok.com/@arta_app/video/7173671182162480427
HOW TO CREATE a fake sunset?,TEACH,SCREEN_DEMO,NURTURE,3,True,75.0,high,demonstration,strong,29.04794997,0.7898,41800,6,6-10,en,Photo & Video,Video Editing,2023,dizzi_app,https://www.tiktok.com/@dizzi_app/video/7213420368403401989
6 STEPS TO GETTING ANYONE TO BUY ANYTHING FROM YOU.,SELL,TEXT_ON_BROLL,CONVERT,1,False,75.0,high,listicle,exceptional,18424.96285,0.9999,6200000,10,6-10,en,Productivity,,2022,writesonic,https://www.tiktok.com/@writesonic/video/7128423647362026758
The final look 😍 let's get his reaction 😂,TEACH,TEXT_ON_BROLL,NURTURE,1,False,75.0,high,demonstration,exceptional,9941.860465,0.9995,17100000,9,6-10,en,Photo & Video,None of the above. The text seems to be related to a wallpaper and icon customization app.,2022,themify_app,https://www.tiktok.com/@themify_app/video/7122439191258205486
What 100 calories looks like,TEACH,TEXT_ON_BROLL,NURTURE,1,False,75.0,high,demonstration,exceptional,10765.61275,0.9996,20600000,5,3-5,en,Health & Fitness,Diet & Nutrition,2024,hitmeal_app,https://www.tiktok.com/@hitmeal_app/video/7410409186686684446
Avoid these phrases:,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.9,high,problem_solution,exceptional,5315.87057,0.9985,6900000,3,3-5,en,Education,Study Aids & Flashcards,2024,elevateapp,https://www.tiktok.com/@elevateapp/video/7321741686206450987
3 signs your vocab is WEAK,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.9,high,listicle,exceptional,8243.451464,0.9991,10700000,6,6-10,en,Education,Study Aids & Flashcards,2024,elevateapp,https://www.tiktok.com/@elevateapp/video/7366306577306963243
The CEO of Snapchat got asked an insane question by a US Senator 😂,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,74.9,high,shock_statement,exceptional,7262.065855,0.999,16100000,14,11-26,en,Navigation,GPS & Maps,2024,superlocalapp,https://www.tiktok.com/@superlocalapp/video/7330698737532587310
How much do you think this flight costs?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.9,high,question,exceptional,6937.119675,0.9989,17100000,8,6-10,en,Travel,Local Guides,2022,hopper,https://www.tiktok.com/@hopper/video/7059485872856517935
3 signs you have a small vocabulary Signs you have a small vocabulary,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.9,high,listicle,exceptional,6779.661017,0.9989,8800000,13,11-26,en,Education,Study Aids & Flashcards,2023,elevateapp,https://www.tiktok.com/@elevateapp/video/7250585924059286827
It started with Bumble,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.8,high,curiosity_gap,exceptional,4421.69462,0.9979,20300000,4,3-5,en,Lifestyle,Dating Apps,2022,bumble,https://www.tiktok.com/@bumble/video/7177098927508966698
Créditos: Cities in 4K Porque vas a querer que sea tu próximo destino ENAMÓRATE DE CROACIA,PROVE,TEXT_ON_BROLL,CONVERT,1,False,74.8,high,outcome_proof,exceptional,3279.049296,0.9969,14900000,16,11-26,es,Travel,Adventure Travel,2023,civitatis,https://www.tiktok.com/@civitatis/video/7256755154991549722
Créditos: World in 4K Os dejamos nuestro ranking DESTINO EEUU,PROVE,TEXT_ON_BROLL,CONVERT,1,False,74.8,high,outcome_proof,exceptional,3191.021127,0.9967,14500000,10,6-10,es,Travel,Adventure Travel,2023,civitatis,https://www.tiktok.com/@civitatis/video/7268273967738178849
Do you really still edit your stories like this?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.8,high,question,exceptional,3449.068751,0.9971,7500000,9,6-10,en,Photo & Video,Story Templates,2023,instoriesapp,https://www.tiktok.com/@instoriesapp/video/7278435768115170567
How to create a cool speed effect,TEACH,SCREEN_DEMO,NURTURE,3,True,74.8,high,demonstration,strong,28.0261723,0.7852,25700,7,6-10,en,Photo & Video,Video Editing,2020,spliceapp,https://www.tiktok.com/@spliceapp/video/6880866331122617601
@breathquestapp What type of lungs do you have?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.8,high,question,exceptional,4310.344828,0.9979,10500000,8,6-10,en,Health & Fitness,Meditation & Mindfulness,2024,breathquestapp,https://www.tiktok.com/@breathquestapp/video/7414698148783852842
Would you try this? 😂,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.8,high,question,exceptional,3732.213669,0.9972,16000000,5,3-5,en,Travel,Adventure Travel,2024,travel.expectations,https://www.tiktok.com/@travel.expectations/video/7446071993331453227
Remember this scene?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.8,high,question,exceptional,3767.730496,0.9973,25500000,3,3-5,en,Entertainment,Meme Generators,2025,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7455728487584845063
Velocity edit Velocity Edit in 10 seconds,SELL,TEXT_ON_BROLL,CONVERT,1,False,74.8,high,benefit_promise,exceptional,4239.054899,0.9976,6100000,7,6-10,en,Photo & Video,Video Editing,2021,dizzi_app,https://www.tiktok.com/@dizzi_app/video/6992893076096290054
Get a summary!,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.7,high,imperative,exceptional,2926.383173,0.9959,3200000,3,3-5,en,Productivity,Note-Taking,2023,chaton.app,https://www.tiktok.com/@chaton.app/video/7266039011939011882
so what's PM 😂 What does P.M. stand for?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.7,high,question,exceptional,3004.622496,0.9963,3900000,9,6-10,en,Education,Study Aids & Flashcards,2023,elevateapp,https://www.tiktok.com/@elevateapp/video/7185350482154622250
is this bad Daily Average 9h 55m,PROVE,TEXT_ON_BROLL,CONVERT,1,False,74.7,high,outcome_proof,exceptional,2877.192982,0.9956,4100000,7,6-10,en,Productivity,Focus Timers,2022,withopal,https://www.tiktok.com/@withopal/video/7156990765711904006
What is Streaking?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.7,high,question,exceptional,2985.074627,0.9961,1000000,3,3-5,en,Health & Fitness,Habit Trackers,2022,mystreaksapp,https://www.tiktok.com/@mystreaksapp/video/7109574841564466474
Bro is living in 2050 😱 *700 pages in 10 minutes !?,PROVE,TEXT_ON_BROLL,CONVERT,1,False,74.7,high,outcome_proof,exceptional,2600.339175,0.995,9200000,12,11-26,en,Education,Study Aids & Flashcards,2024,youlearn.ai,https://www.tiktok.com/@youlearn.ai/video/7419429900173495582
4 Chapadas do Brasil,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.7,high,listicle,exceptional,2679.658952,0.9951,3300000,4,3-5,pt,Travel,Local Guides,2023,civitatis_br,https://www.tiktok.com/@civitatis_br/video/7307022562330938656
Say goodbye to your alarm clock...,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.7,high,imperative,exceptional,2738.515901,0.9954,3100000,6,6-10,en,Health & Fitness,Sleep Analysis,2022,sleepwave.app,https://www.tiktok.com/@sleepwave.app/video/7134632112015019269
Can he spell the last word for $500?!,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.7,high,question,exceptional,2850.539291,0.9956,3700000,8,6-10,en,Education,Study Aids & Flashcards,2022,elevateapp,https://www.tiktok.com/@elevateapp/video/7173833251147107626
What will happen because of your small vocab:,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.7,high,question,exceptional,2927.580894,0.996,3800000,8,6-10,en,Education,Study Aids & Flashcards,2023,elevateapp,https://www.tiktok.com/@elevateapp/video/7268774288902294830
A dog's guide In vs Out 2024,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.7,high,comparative,exceptional,2724.430549,0.9952,6100000,7,6-10,en,Shopping,Pet Shopping,2024,petsmart,https://www.tiktok.com/@petsmart/video/7322227329760038190
Velocity Edit in 10 seconds Velocity edit,SELL,TEXT_ON_BROLL,CONVERT,1,False,74.7,high,benefit_promise,exceptional,3127.171647,0.9965,4500000,7,6-10,en,Photo & Video,Video Editing,2021,dizzi_app,https://www.tiktok.com/@dizzi_app/video/6991772497930685701
"do ""YOU"" this 2024",PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,question,exceptional,2495.714286,0.9947,698800,4,3-5,en,Productivity,Habit Trackers,2024,do.habits,https://www.tiktok.com/@do.habits/video/7319226961102982433
¿Vale la pena viajar a Túnez?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,question,exceptional,2574.823944,0.9949,11700000,6,6-10,es,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7320259021871533345
How to make an ENGINEER RESUME In less than 15 seconds,TEACH,SCREEN_DEMO,NURTURE,3,True,74.6,high,demonstration,strong,27.41545894,0.7821,22700,11,11-26,en,Productivity,Resume Builders,2023,kickresume,https://www.tiktok.com/@kickresume/video/7185227425750502661
IT'S INSANE that using chatgpt on a job interview is something people do these days 😅,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,74.6,high,shock_statement,exceptional,2262.090484,0.9941,2900000,16,11-26,en,Business,HR & Payroll,2024,parakeetai,https://www.tiktok.com/@parakeetai/video/7430145836538973473
This is your friendly reminder to have your monthly relationship check-in 💫,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,direct_address,exceptional,2151.260504,0.9938,3200000,12,11-26,en,Social Networking,Interest-Based Groups,2024,pairedapp,https://www.tiktok.com/@pairedapp/video/7330301924270492961
This is how I write messages on my boyfriend lock screen 😏,PROVE,TALKING_HEAD,CONVERT,2,True,74.6,high,outcome_proof,strong,12.25016119,0.657,19000,12,11-26,en,Social Networking,Interest-Based Groups,2024,couplejoy,https://www.tiktok.com/@couplejoy/video/7453205846328216854
check out the new tinder Matchmaker,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,imperative,exceptional,2333.333333,0.9943,25200000,6,6-10,en,Social Networking,Friend Finders,2023,tinder,https://www.tiktok.com/@tinder/video/7293982171432226090
Tired of constant breakouts?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,question,exceptional,2508.492292,0.9948,4800000,4,3-5,en,Health & Fitness,Diet & Nutrition,2024,hitmeal_app,https://www.tiktok.com/@hitmeal_app/video/7419319255704849695
How much do you currently save per month?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,question,exceptional,2451.561882,0.9946,3100000,8,6-10,en,Finance,Financial Literacy Tools,2022,tembomoney,https://www.tiktok.com/@tembomoney/video/7175210516250365189
"Did you know dog toys can collect bacteria, yeast, mold & dirt? 😖",PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,question,exceptional,2277.80259,0.9942,5100000,13,11-26,en,Shopping,Pet Shopping,2024,petsmart,https://www.tiktok.com/@petsmart/video/7319998813811461422
Acronym Challenge: What does IQ stand for?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.6,high,question,exceptional,2465.331279,0.9946,3200000,7,6-10,en,Education,Study Aids & Flashcards,2023,elevateapp,https://www.tiktok.com/@elevateapp/video/7206846731844095278
7 lugares pra conhecer no Japão,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.5,high,listicle,exceptional,1786.439302,0.9926,2200000,6,6-10,pt,Travel,Local Guides,2023,civitatis_br,https://www.tiktok.com/@civitatis_br/video/7290714285150342432
Top 3 outdoor kitchen items from Wayfair,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.5,high,listicle,exceptional,1591.511936,0.9918,4200000,7,6-10,en,Lifestyle,Home Decor & DIY,2023,wayfair,https://www.tiktok.com/@wayfair/video/7233382861364137258
HEY!,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.5,high,direct_address,exceptional,1662.384767,0.9922,5500000,1,0-2,en,Social Networking,Friend Finders,2024,saturday.app,https://www.tiktok.com/@saturday.app/video/7374976936566623531
Just another day as a cleaner...,ENTERTAIN,TEXT_ON_BROLL,REACH,1,False,74.5,high,reveal_tease,exceptional,1920.803783,0.993,13000000,6,6-10,en,Entertainment,Meme Generators,2024,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7447802106318294290
How to make a perfect fan video,TEACH,SCREEN_DEMO,NURTURE,3,True,74.5,high,demonstration,strong,27.17164698,0.781,39100,7,6-10,en,Photo & Video,Video Editing,2022,dizzi_app,https://www.tiktok.com/@dizzi_app/video/7106899316618415365
@breathquestapp How strong are your lungs?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.5,high,question,exceptional,1642.036125,0.9921,4000000,6,6-10,en,Health & Fitness,Meditation & Mindfulness,2024,breathquestapp,https://www.tiktok.com/@breathquestapp/video/7414001849528749355
Did you know the wealthiest bloggers make 80% of their income from online courses.,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.5,high,question,exceptional,1568.342246,0.9916,733200,14,11-26,en,Business,Small Business Tools,2022,teachable.com,https://www.tiktok.com/@teachable.com/video/7087980795796786474
Does height really matter?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.4,high,question,exceptional,1481.481481,0.9909,16000000,4,3-5,en,Social Networking,Friend Finders,2022,tinder,https://www.tiktok.com/@tinder/video/7177879481988828462
Qué te motiva a viajar?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.4,high,question,exceptional,1386.443662,0.9902,6300000,5,3-5,es,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7389927466669722912
POV: you’re a med student who just told your mom to “drink some water” when she asked for advice,RELATE,SKIT_OR_POV,REACH,3,True,74.4,high,pov_realism,strong,26.6,0.7785,598500,19,11-26,en,Education,Study Aids & Flashcards,2024,quizlet,https://www.tiktok.com/@quizlet/video/7405376275356962091
Are you saving at the moment to buy your first 🏡?,SELL,TEXT_ON_BROLL,CONVERT,1,False,74.4,high,question,exceptional,1344.404903,0.99,1700000,11,11-26,en,Finance,Financial Literacy Tools,2022,tembomoney,https://www.tiktok.com/@tembomoney/video/7161480386592115974
HOW AN ELEPHANT SCRATCHES ITS STOMACH.,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.4,high,question,exceptional,1422.906461,0.9905,6100000,6,6-10,en,Travel,Adventure Travel,2024,travel.expectations,https://www.tiktok.com/@travel.expectations/video/7447196277797817643
Do you still think this is the best way to post multiple photos on socials?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.4,high,question,exceptional,1379.627501,0.9901,3000000,15,11-26,en,Photo & Video,Story Templates,2023,instoriesapp,https://www.tiktok.com/@instoriesapp/video/7278440955781434632
1 DÍA EN BARCELONA para que lo aproveches al,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.4,high,listicle,exceptional,1496.478873,0.991,6800000,9,6-10,es,Travel,Adventure Travel,2024,civitatis,https://www.tiktok.com/@civitatis/video/7352867419855146272
what each stanley cup is good for:,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.3,high,question,exceptional,1326.530612,0.9899,1300000,7,6-10,en,Lifestyle,Home Decor & DIY,2024,lemon8.home,https://www.tiktok.com/@lemon8.home/photo/7340700731873201451
Are you single?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.3,high,question,exceptional,1293.487957,0.9892,5800000,3,3-5,en,Entertainment,Comedy Platforms,2023,luvjusdrinks,https://www.tiktok.com/@luvjusdrinks/video/7298411050867756320
Valenties Shot If you hate the taste of shots. This shot is for you.,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.3,high,problem_solution,exceptional,1343.624929,0.9899,4700000,14,11-26,en,Food & Drink,Cocktail Mixology,2023,getmybar.app,https://www.tiktok.com/@getmybar.app/video/7198216441328340229
AI Tools To Start a Business For FREE AI Tools To Start A Business Correction Grammarly Invoice Refrens Find AI Tools Insidr.ai,SELL,TEXT_ON_BROLL,CONVERT,1,False,74.3,high,benefit_promise,exceptional,1304.347826,0.9894,1800000,22,11-26,en,Education,AI Study Tools,2023,insidr.ai,https://www.tiktok.com/@insidr.ai/video/7220692685428903173
Come with us to re-stock our Lamb Chop Collection at PetSmart,SELL,TALKING_HEAD,CONVERT,2,True,74.3,high,invitation,strong,11.9249665,0.652,26700,11,11-26,en,Shopping,Pet Shopping,2024,petsmart,https://www.tiktok.com/@petsmart/video/7348979486127328555
did you know cats fur colours tell their personalities?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.3,high,question,exceptional,1276.923077,0.9888,41500000,9,6-10,en,Entertainment,Fan Communities,2023,cathunter.app,https://www.tiktok.com/@cathunter.app/video/7259063101260123398
Are you renting at the moment?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.3,high,question,exceptional,1186.23962,0.9881,1500000,6,6-10,en,Finance,Financial Literacy Tools,2022,tembomoney,https://www.tiktok.com/@tembomoney/video/7169272284379712774
Introducing... The Nectar can,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.3,high,imperative,exceptional,1285.255266,0.989,1800000,4,3-5,en,Shopping,Cashback Platforms,2024,nectar,https://www.tiktok.com/@nectar/video/7375133641418083616
12 days of surprises,TEACH,TEXT_ON_BROLL,NURTURE,1,False,74.2,high,listicle,exceptional,1164.212119,0.9875,10000000,4,3-5,en,Food & Drink,Food Delivery,2024,foodpanda_my,https://www.tiktok.com/@foodpanda_my/video/7397631145946549505
What Your Christmas Tree Aesthetic Says About You...,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.2,high,question,exceptional,1174.687382,0.9879,3100000,8,6-10,en,Lifestyle,Home Decor & DIY,2023,wayfair,https://www.tiktok.com/@wayfair/video/7311372146247339307
Still show your nails like this?,PROVOKE,TEXT_ON_BROLL,REACH,1,False,74.2,high,question,exceptional,1064.075873,0.9859,2300000,6,6-10,en,Photo & Video,Photo Editing,2023,hypic_global,https://www.tiktok.com/@hypic_global/video/7276633777349315886
